contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
SPXW260130C06350000,2026-01-30 20:01:05+00:00,6350.0,568.04,581.1,589.1,67.65997,13.521717,3.0,43.0,0.56055126953125,True,REGULAR,USD,call,2026-01-30
SPXW260130C06355000,2026-01-30 15:41:10+00:00,6355.0,602.22,576.6,585.9,-10.130005,-1.6542835,6.0,10.0,0.8044453149414061,True,REGULAR,USD,call,2026-01-30
SPXW260130C06360000,2025-12-10 21:00:45+00:00,6360.0,593.1,573.3,574.7,0.0,0.0,1.0,12.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06365000,2026-01-30 19:06:26+00:00,6365.0,582.88,564.8,575.9,-9.309998,-1.5721302,6.0,6.0,0.792116336669922,True,REGULAR,USD,call,2026-01-30
SPXW260130C06370000,2026-01-30 18:45:07+00:00,6370.0,542.62,561.1,569.0,6.830017,1.2747564,5.0,30.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06375000,2026-01-30 19:26:42+00:00,6375.0,572.42,556.1,564.0,17.51001,3.1554685,6.0,40.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06380000,2025-11-21 15:23:11+00:00,6380.0,375.2,566.0,572.1,0.0,0.0,4.0,8.0,1.0494432293701175,True,REGULAR,USD,call,2026-01-30
SPXW260130C06390000,2025-09-22 18:02:29+00:00,6390.0,510.32,492.9,503.8,0.0,0.0,48.0,25.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06400000,2026-01-30 20:33:44+00:00,6400.0,526.68,538.2,539.9,-17.200012,-3.1624646,13.0,44.0,0.6728548339843752,True,REGULAR,USD,call,2026-01-30
SPXW260130C06405000,2026-01-30 19:31:03+00:00,6405.0,525.4,533.3,534.9,77.81003,17.38422,7.0,2.0,0.5097705273437501,True,REGULAR,USD,call,2026-01-30
SPXW260130C06410000,2026-01-20 18:02:05+00:00,6410.0,442.65,528.6,530.1,0.0,0.0,4.0,4.0,0.586918193359375,True,REGULAR,USD,call,2026-01-30
SPXW260130C06420000,2026-01-29 19:32:39+00:00,6420.0,523.78,517.8,519.9,0.0,0.0,5.0,20.0,0.6500279138183593,True,REGULAR,USD,call,2026-01-30
SPXW260130C06425000,2025-09-26 15:28:59+00:00,6425.0,425.54,464.5,474.7,0.0,0.0,2.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06430000,2026-01-30 17:04:35+00:00,6430.0,489.27,505.7,509.0,-33.380035,-6.3866897,2.0,234.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
