
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 7275.0    0.300 10.01      NaN   NaN             NaN
 7280.0    0.275 10.04      NaN   NaN             NaN
 7290.0    0.225 10.07      NaN   NaN             NaN
 7300.0    0.225 10.32      NaN   NaN             NaN
 7320.0    0.175 10.53      NaN   NaN             NaN
 7325.0    0.175 10.65      NaN   NaN             NaN
 7330.0    0.150 10.61      NaN   NaN             NaN
 7350.0    0.150 11.08      NaN   NaN             NaN
 7375.0    0.150 11.68      NaN   NaN             NaN
 7400.0    0.150 12.26      NaN   NaN             NaN
 7425.0    0.125 12.62      NaN   NaN             NaN
 7450.0    0.125 13.19      NaN   NaN             NaN
 7475.0    0.125 13.76      NaN   NaN             NaN
 7500.0    0.125 14.32      NaN   NaN             NaN
 7525.0    0.125 14.88      NaN   NaN             NaN
 7550.0    0.125 15.43      NaN   NaN             NaN
 7600.0    0.100 16.20      NaN   NaN             NaN

expiry: 2026-02-20  forward: 6946.92  df: 0.9974
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6255.0  697.100 26.05     7.10 26.15           -0.10
 6260.0  692.100 25.88     7.75 26.44           -0.56
 6265.0  685.950 24.84     7.20 25.90           -1.05
 6270.0  682.350 25.71     7.35 25.84           -0.13
 6275.0      NaN   NaN     7.40 25.71             NaN
 6280.0  672.700 25.60     7.50 25.61           -0.00
 6285.0      NaN   NaN     8.20 25.90             NaN
 6290.0  663.350 25.68     7.75 25.45            0.24
 6295.0  657.950 25.25     7.80 25.31           -0.06
 6300.0  653.650 25.52     7.95 25.24            0.28
 6305.0  647.800 24.81     8.10 25.17           -0.37
 6310.0  643.600 25.14     8.80 25.43           -0.29
 6315.0  638.450 24.87     8.90 25.33           -0.45
 6320.0  633.900 24.97     9.00 25.22           -0.24
 6325.0  629.450 25.12     9.15 25.13           -0.01
 6330.0      NaN   NaN     9.30 25.05             NaN
 6335.0  619.600 24.85     9.40 24.94           -0.08
 6340.0  614.200 24.45     8.90 24.48           -0.04
 6345.0  609.150 24.24     9.10 24.43           -0.19
 6350.0  605.100 24.60     9.85 24.67           -0.07
 6355.0  599.300 23.98    10.00 24.58           -0.61
 6360.0  594.650 24.00    10.15 24.49           -0.49
 6365.0  590.300 24.17     9.60 24.02            0.15
 6370.0  585.750 24.23    10.45 24.30           -0.07
 6375.0  580.150 23.74    10.60 24.21           -0.47
 6380.0  575.250 23.61    10.80 24.13           -0.52
